Código,Hospital
101100,Hospital Dr. Juan Noé Crevanni (Arica)
102100,Hospital Dr. Ernesto Torres Galdames (Iquique)
103100,Hospital Dr. Leonardo Guzmán (Antofagasta)
103101,Hospital Dr. Carlos Cisternas (Calama)
104100,Hospital San José del Carmen (Copiapó)
105100,Hospital San Juan de Dios (La Serena)
105101,Hospital San Pablo (Coquimbo)
105102,Hospital Dr. Antonio Tirado Lanas (Ovalle)
106100,Hospital Carlos Van Buren (Valparaíso)
106102,Hospital Dr. Eduardo Pereira Ramírez (Valparaíso)
106103,Hospital Claudio Vicuña ( San Antonio)
107100,Hospital Dr. Gustavo Fricke (Viña del Mar)
107101,Hospital San Martín (Quillota)
107102,Hospital de Quilpué
108100,Hospital de San Camilo (San Felipe)
108101,Hospital San Juan de Dios (Los Andes)
109100,"Complejo Hospitalario San José (Santiago, Independencia)"
109101,"Hospital Clínico de Niños Dr. Roberto del Río (Santiago, Independencia)"
109102,"Instituto Psiquiátrico Dr. José Horwitz Barak (Santiago, Recoleta)"
109103,"Instituto Nacional del Cáncer Dr. Caupolicán Pardo Correa (Santiago, Recoleta)"
110100,"Hospital San Juan de Dios (Santiago, Santiago)"
110110,Instituto Traumatológico Dr. Teodoro Gebauer
110120,"Hospital Dr. Félix Bulnes Cerda (Santiago, Quinta Normal)"
110150,Hospital San José (Melipilla)
111100,"Hospital Clínico San Borja-Arriarán (Santiago, Santiago)"
111101,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada 
111195,Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río
112100,"Hospital Del Salvador (Santiago, Providencia)"
112101,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)"
112102,"Hospital de Niños Dr. Luis Calvo Mackenna (Santiago, Providencia)"
112103,Instituto Nacional de Enfermedades Respiratorias y Cirugía Torácica
112104,Instituto de Neurocirugía Dr. Alfonso Asenjo
112105,Instituto Nacional de Rehabilitación Infantil Presidente Pedro Aguirre Cerda
112106,Instituto Nacional Geriátrico Presidente Eduardo Frei Montalva
113100,"Hospital Barros Luco Trudeau (Santiago, San Miguel)"
113130,"Hospital Dr. Exequiel González Cortés (Santiago, San Miguel)"
113180,"Hospital El Pino (Santiago, San Bernardo)"
113190,"Hospital Parroquial (Santiago, San Bernardo) (D)"
114101,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)"
114103,Hospital Padre Alberto Hurtado (San Ramón)
114105,Hospital Clínico Metropolitano La Florida Dra. Eloisa Díaz Inzunza
115100,Hospital Regional de Rancagua
115107,Hospital San Juan de Dios (San Fernando)
116100,Hospital San Juan de Dios (Curicó)
116105,Hospital Dr. César Garavagno Burotto (Talca)
116108,Hospital Presidente Carlos Ibáñez del Campo (Linares)
117101,Hospital Clínico Herminda Martín (Chillán)
117102,Hospital de San Carlos
118100,Hospital Clínico Regional Dr. Guillermo Grant Benavente (Concepción)
118105,Hospital San José (Coronel)
118106,Hospital de Lota
119100,Hospital Las Higueras (Talcahuano)
119101,Hospital de Tomé
120101,Complejo Asistencial Dr. Víctor Ríos Ruiz (Los Ángeles)
121109,Hospital Dr. Hernán Henríquez Aravena (Temuco)
122100,Hospital Clínico Regional (Valdivia)
123100,Hospital Base San José de Osorno
124105,Hospital de Puerto Montt
125100,Hospital Regional (Coihaique)
126100,Hospital Clínico de Magallanes Dr. Lautaro Navarro Avaria
129100,Hospital Dr. Mauricio Heyermann (Angol)
129106,Hospital San José (Victoria)
133150,Hospital de Castro
